區域,餐廳名稱,人均價位下限,人均價位上限,建議一桌上限人數,地址,營業時間,公休日,鄰近捷運站,電話,訂位網站
松山區,卡滋日式炸豬排專賣店,250,400,8,臺北市松山區八德路四段277之1號,"11:30-14:00
17:30-21:00",,南京三民站,02 2748 7767,
松山區,侯門小館,300,800,8,臺北市松山區民生東路五段180號,"11:30–14:00
17:30–20:30",一,南京三民站,02 2760 0708,
松山區,米與多蜜,200,600,6,台北市松山區東興路23號,"11:30–14:30
17:30–20:30",,南京三民站,02 2747 0236,
松山區,小紅莓石頭火鍋城,200,800,8,台北市松山區寶清街24號1樓,11:30–22:30,二,南京三民站,02 2767 6131,
松山區,小統一牛排,500,2000,10,台北市松山區健康路174號,"11:30–14:00
17:30–21:30",,南京三民站,02 2760 2641,
中山區,聚馥園餐廳,400,800,10,104台北市中山區南京東路三段219號3樓,11:00-13:30 17:00-21:00,,南京復興站,02 2718 5588,
中山區,大老爺私房菜,600,1000,10,10491台北市中山區長春路348之6號1樓,17:30-23:59,日,南京復興站,02 2716 0317,
松山區,Cin Cin Osteria 請請義大利餐廳 慶城店,150,750,8,臺北市松山區慶城街16巷16號1F,"11:30–15:30
17:30–21:30",一,南京復興站,02 2712 2050,https://inline.app/booking/-Kz7v20Z1U5_kPq2iMpB:inline-live-2a466/-Kz7v20_iRHYSrMN0MjZ?language=zh-tw
松山區,起家莊雞老闆 養生藥膳桶仔雞,400,800,6,臺北市松山區長春路454號,17:00-02:30,,南京復興站,02 2717 5777,
松山區,明水然無菜單鐵板燒 慶城店,1390,3000,11,臺北市松山區慶城街18號之1號,"11:30–15:00
17:30–22:00",,南京復興站,02 2716 8818,https://inline.app/booking/-MFnomV1i6SqY_R0HX7j:inline-live-1?language=zh-tw
松山區,梅花廳(粵菜飲茶) 兄弟大飯店,250,700,8,臺北市松山區南京東路三段255號2之3樓,10:00-21:00,,南京復興站,02 2712 3456,
松山區,Bottless 非瓶,1300,2000,8,台北市松山區慶城街26-1號,"11:00–15:00
17:30–22:30",,南京復興站,02 2514 0089,https://inline.app/order/-Lz0Q3jpZtDEGUvDeGzM:inline-live-1/-Lz0Q4Cgg3E206J_UjZt?language=zh-tw
松山區,舒曼六號餐館南京店,400,1000,6,台北市松山區南京東路三段303巷8弄11號,09:00-21:30,,南京復興站,02-2718-8108,https://inline.app/booking/-MQtm-5njJu5hpH0TtXI:inline-live-2/-MQtm-GB26iGAkXDilM5?language=zh-tw
松山區,紅廚 Pasta West East,1200,3000,12,台北市松山區慶城街 22 號,"11:30–15:00
17:30–23:00",,南京復興站,02 2713 8362,
松山區,不葷主義茶餐廳台北店,400,1200,10,台北市松山區南京東路三段275號2樓,"11:30-15:00
17:30-21:30",,南京復興站,02 2545 9977,https://inline.app/booking/-NUW50b437pKOcKD8B1Z:inline-live-3/-NUW50n_6cVusnFbp0q2?language=zh-tw
松山區,祥和蔬食料理（慶城店）,400,1200,12,台北市松山區南京東路三段303巷7弄7號,"11:30–14:00
17:30–21:00",,南京復興站,02 2546 6188,https://inline.app/booking/-NQkCSIXw2lnO3PiAC-Y:inline-live-3/-NQkCSX2ilVgCJJ1uuN_
松山區,北平萬珍樓美食餐廳,400,600,10,台北市松山區敦化北路120巷11號,"11:30–14:00
17:00–21:00",,南京復興站,02 2716 7477,
松山區,福顏割烹日本料理,200,1500,10,台北市松山區慶城街26號,"11:40–14:00
17:30–21:30",,南京復興站,02 2712 0078,
大安區,泰之初Brunch 大安台大店,200,400,8,台北市大安區復興南路二段360號,"10:00–15:00
17:00–20:30",一 二,科技大樓站,0227370189,
大安區,小閣樓 放感情 Bistro Bar,600,1000,8,台北市大安區復興南路二段185號,18:00-03:00,,科技大樓站,0223256789,https://inline.app/booking/-LyIme6j9BlG65m9C04-:inline-live-1?language=zh-tw
大安區,Open開房間桌遊餐酒館,200,400,8,台北市大安區辛亥路二段145號一樓,17:00-23:30,一,科技大樓站,0227371868,
大安區,樂子 the Diner,400,600,8,台北市大安區瑞安街145號,09:00-20:00,,科技大樓站,0227001680,https://inline.app/booking/-KJJSvnMqP2ZECa6JwWY/-KJJSvnMqP2ZECa6JwWZ
大安區,燒肉政宗YAKINIKU MASAMUNE,150,500,10,台北市大安區忠孝東路四段101巷7號,12:00-21:00,一,國父紀念館站,0227718007,https://inline.app/booking/-NW0wVz88vneBilAg9zA:inline-live-3?language=zh-tw
大安區,Osteria Rialto 光復南店,400,800,8,台北市大安區光復南路260巷5號,"11:30-15:00
17:30-22:00",,國父紀念館站,0227781536,https://inline.app/booking/-N95LC_lFs38t4vrLiOY:inline-live-1/-N95LCnnzZtK8C1LicFl?fbclid=IwAR0iF1c72OVFqths8Eqxmjo4Zk_fT1eYUbUf1GlmI6aqgapkE5JX0CbMk8c
中正區,北海漁村 台北杭州店,1000,1600,16,100台北市中正區杭州南路一段8號,"11:30–14:00
17:30–21:00",,善導寺站,0223576188,
中正區,勺勺客陝西餐館,400,600,10,100台北市中正區杭州南路一段27號,"11:30–14:00
17:30–21:00",一 二,善導寺站,0223517148,
中正區,Another Eatery,600,2000,8,100台北市中正區天津街9號,18:00–02:00,一,善導寺站,0223956900,
中正區,北平上園樓(山西餐廳),400,1000,12,100台北市中正區林森南路4號,"11:15–14:00
17:15–21:00",,善導寺站,0223933331,
中正區,禾多餐酒館 台大徐州店 HERDOR Bistro,400,600,10,100台北市中正區徐州路42號,"11:30–15:30
17:30–21:30",,善導寺站,0223212224,https://www.herdorlife.com/herdor_tea_house/booking/ntu
中正區,璞滿滿,200,600,10,100台北市中正區徐州路34號,17:30–23:59,,善導寺站,0223224843,https://inline.app/booking/-MOVIu3ReeVWQyI5Fdx6:inline-live-2/-MOVIuFbjxmyTwIBfPT0
中正區,珍品小館,400,600,10,100台北市中正區青島東路7之5號,"11:00–14:00
17:00–21:00",,善導寺站,0223934518,
中山區,地中海牛排館-歐華酒店,1600,2000,6,10461台北市中山區林森北路646號,11:30-14:30 18:00-22:00,,圓山站,0225853258,https://inline.app/booking/-NTlQ2T5JDPbvde4iCMA:inline-live-3/-Nl7v3rlKYZaBkt0JFyE
大同區,頂園食坊餐廳,400,1000,10,103台北市大同區承德路三段250號,11:30–14:30 17:30–21:30,,圓山站,0225925077,
大同區,駱師父醬味川客菜,400,600,10,103台北市大同區民族西路31巷36號,11:00-14:00 17:00-21:00,,圓山站,0225916228,opentable.com.tw
中正區,睦軒獨享鍋.定食.私房桌菜,200,400,10,100台北市中正區紹興南街15號之1,"11:30–14:00
17:30–20:30",六 日,臺大醫院站,0223278307,https://line.me/R/ti/p/%40011iaiqu
中山區,隱鍋,400,600,8,104台北市中山區林森北路353巷20號1樓,12:00-23:59,,雙連站,0225115522,https://yinhotpot.com/?utm_source=google&utm_medium=yinhotpot03
中山區,柚子花花客家菜(台北店),400,1000,10,104台北市中山區中山北路二段48巷7號B1,11:00-14:00 17:00-21:00,,雙連站,0225218601,https://inline.app/booking/-MeZS9fSqQDffmAE4tCT:inline-live-2/-NTSQZRHmUmvWtHj1eOf
中山區,Buttermilk 摩登美式餐廳,800,1200,8,10491台北市中山區中山北路二段57之1號,11:00-22:00,,雙連站,02 2565 2898,
大同區,大烹小饌,400,600,10,103台北市大同區民生西路146-1號,11:00-14:00 17:00-23:30,,雙連站,0227560882,
大安區,雞窩餐廳,600,800,8,台北市信義區和平東路三段377號,"11:30-14:00
17:30-21:00",,麟光站,0227043038,https://gofoodie.vip/hgOfW
